rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,week,danceability,energy,valence,tempo,loudness,acousticness,instrumentalness,speechiness,liveness
111,7vlw3ezpsoXCBONhNXLOcV,Tuna,גם זה יעבור,Anana,56,109,238,51333,06/07/2023,0.56,0.62,0.411,156.178,-7.778,0.36,0.0001,0.089,0.1
112,59kcUaOLIHwwz3Mfgr4Cuw,"Eden Hason, Osher Cohen",איתך & תחזרי מהר - מנורה לייב,Mobile1 Music,92,92,10,50947,06/07/2023,0.509,0.674,0.492,77.933,-9.27,0.592,0,0.0657,0.753
113,5JdLUE9D743ob2RtgmVpVx,Jain,Makeba,Columbia,113,113,4,50934,06/07/2023,0.824,0.656,0.418,116.068,-9.432,0.388,0.506,0.0704,0.253
114,1BxfuPKGuaTgP7aM0Bbdwr,Taylor Swift,Cruel Summer,Taylor Swift,114,164,3,50843,06/07/2023,0.552,0.702,0.564,169.994,-5.707,0.117,0,0.157,0.105
115,0hOEW1DOcq5pQdoSguJklk,Peer Tasi,ערק,Peer Tasi LTD under exclusive license to D-Music,52,127,49,50744,06/07/2023,0.706,0.498,0.282,100.023,-7.525,0.4,0,0.0566,0.324
116,7mBGGsJwx4o8NiqWfmAJ96,Ravid Plotnik,כפרה שלי,NaNa Disc,49,119,87,50645,06/07/2023,0.67,0.331,0.853,160.018,-13.178,0.73,0,0.195,0.104
117,7qEHsqek33rTcFNT9PFqLf,Lewis Capaldi,Someone You Loved,Vertigo Berlin,9,116,190,50401,06/07/2023,0.501,0.405,0.446,109.891,-5.679,0.751,0,0.0319,0.105
118,5Cf7f7XD97PYEUWEEb7mcQ,Hanan Ben Ari,חוץ מכדורגל,Hanan Ben Ari under exclusive license to D-Music,112,129,3,50215,06/07/2023,0.587,0.461,0.336,135.279,-7.077,0.636,0,0.0593,0.381
119,5g7sDjBhZ4I3gcFIpkrLuI,Bruno Mars,Locked out of Heaven,Atlantic Records,53,108,7,50096,06/07/2023,0.728,0.697,0.87,143.986,-4.125,0.0556,0,0.0456,0.282
120,1s7oOCT8vauUh01PbJD6ps,"Rema, Selena Gomez",Calm Down (with Selena Gomez),Mavin Records / Jonzing World,29,93,43,49645,06/07/2023,0.801,0.806,0.802,106.999,-5.206,0.382,0.0007,0.0381,0.114
121,72W6xVQGdKHQl348KYgwg2,Idan Rafael Haviv,שלמים,Idan Rafael Haviv under exclusive license to NMC United Entertainment,1,110,154,49458,06/07/2023,0.417,0.355,0.0914,86.078,-12.372,0.847,0,0.0599,0.113
122,3veP41hqImUDYUhBbnZG90,Maor Cohen,שיר של יום חולין,NaNa Disc,68,152,56,48565,06/07/2023,0.44,0.711,0.262,76.17,-4.316,0.0038,0,0.031,0.254
123,6kIxhXb3FSuOQS0gMd8s0D,Eden Ben Zaken,חמסה,Sarit Productions LTD / Helicon Aroma Music Ltd. under exclusive license to D-Music,123,163,3,48532,06/07/2023,0.855,0.601,0.434,123.919,-7.43,0.387,0.0001,0.0513,0.107
124,0odehEKB3SeuY8NIm9kBT4,"Full Trunk, Sivan Talmor",As a Stone,NaNa Disc,35,134,205,48454,06/07/2023,0.645,0.763,0.559,82.448,-4.705,0.355,0.349,0.0351,0.302
125,3hay408PSjTAxPn5TPxzyh,Idan Amedi,חלק מהזמן,A.M Music Productions LTD,27,143,275,48413,06/07/2023,0.568,0.455,0.642,68.463,-7.611,0.626,0,0.0309,0.129
126,0n2BeC9E0M7fC2jbKBYetu,Tomer Yosef,כאלו מילים,Unicell,56,102,82,48373,06/07/2023,0.717,0.516,0.963,174.999,-4.739,0.276,0,0.0496,0.0857
127,52Do4VrXDPuXZ1KH2TZcqw,Static,להיט של שיר אחד,Mobile1 Music,16,97,20,48211,06/07/2023,0.657,0.727,0.777,145.016,-5.065,0.189,0,0.0432,0.121
128,4abB8WdkswrxWxcV2e56x9,Eden Hason,גדל לי קצת זקן,Mobile1 Music,2,117,122,47802,06/07/2023,0.671,0.472,0.663,139.748,-7.898,0.875,0,0.0344,0.124
129,1vTVrYErMEixGuPZFZGg6C,Tuna,רוק 30,Anana,59,138,61,47705,06/07/2023,0.515,0.841,0.608,86.85,-7.014,0.167,0,0.192,0.0768
130,2J2Z1SkXYghSajLibnQHOa,Sia,Unstoppable,Monkey Puzzle Records/RCA Records,91,126,65,47352,06/07/2023,0.468,0.779,0.26,173.799,-4.839,0.112,0.0004,0.0779,0.101
131,561jH07mF1jHuk7KlaeF0s,Eminem,Mockingbird,Eminem Catalog PS,26,120,38,47164,06/07/2023,0.637,0.678,0.254,84.039,-3.798,0.209,0,0.266,0.156
132,0VjIjW4GlUZAMYd2vXMi3b,The Weeknd,Blinding Lights,Republic Records,1,136,188,47058,06/07/2023,0.513,0.73,0.334,171.001,-5.94,0.0014,0.0001,0.0598,0.0897
